Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsMean
33,37.0,No,Travel_Rarely,506,Research & Development,3,3,Technical Degree,3,Male,30,3,2,Research Scientist,2,Single,10609.0,26285,4,No,12,3.0,4,0,10,2.0,3,14.0,4.666666666666667
34,43.03474903474904,No,Travel_Rarely,287,Research & Development,1,4,Life Sciences,3,Female,62,1,1,Research Scientist,4,Married,9474.52564102564,8952,1,No,12,3.0,4,1,4,2.0,3,17.0,1.6666666666666667
35,46.0,No,Travel_Rarely,1017,Research & Development,1,2,Medical,3,Female,83,2,1,Research Scientist,1,Married,16872.0,18697,2,No,14,3.0,1,1,17,2.0,2,7.0,1
36,37.2520325203252,No,Travel_Frequently,1213,Human Resources,2,1,Human Resources,2,Female,94,2,2,Human Resources,4,Single,7525.0,4223,1,No,21,3.0,4,0,10,2.0,2,15.0,3
37,48.0,No,Travel_Rarely,750,Sales,22,2,Marketing,3,Female,95,3,2,Sales Executive,2,Married,6439.0,15480,0,No,13,3.0,1,1,8,2.0,4,8.0,4.666666666666667
38,50.0,No,Non-Travel,1383,Research & Development,10,3,Life Sciences,4,Male,90,3,3,Healthcare Representative,1,Married,17924.0,25949,7,Yes,13,3.0,4,1,15,3.0,3,31.0,6.666666666666667
39,34.0,No,Travel_Frequently,444,Research & Development,2,1,Medical,3,Male,40,2,4,Manager,1,Single,9547.0,17323,7,No,15,3.0,2,0,31,2.0,4,10.0,5
40,35.906122448979595,No,Travel_Rarely,532,Research & Development,29,2,Life Sciences,1,Male,92,3,2,Research Scientist,3,Divorced,4689.757785467128,12932,2,No,11,3.0,2,1,19,3.0,3,2.0,2
41,55.0,No,Non-Travel,1157,Sales,2,4,Life Sciences,3,Male,70,3,1,Sales Representative,4,Single,6516.717073170733,17001,3,Yes,21,3.0,4,0,7,3.0,2,9.0,1.6666666666666667
42,45.0,Yes,Travel_Rarely,360,Research & Development,23,3,Medical,3,Male,93,3,1,Research Scientist,1,Single,16704.0,22154,0,No,13,3.0,1,0,6,2.0,3,21.0,1.6666666666666667
43,35.0,No,Travel_Rarely,480,Research & Development,7,2,Medical,2,Male,31,3,2,Manufacturing Director,1,Married,1951.0,4156,1,No,12,3.0,2,1,13,3.0,1,1.0,8.333333333333334
44,40.0,No,Travel_Rarely,335,Sales,17,2,Marketing,3,Male,33,2,2,Sales Executive,2,Married,2018.0,16822,2,No,16,3.0,3,2,12,3.0,1,5.0,2
45,32.368,No,Travel_Rarely,857,Research & Development,10,3,Life Sciences,4,Male,91,2,4,Manager,1,Divorced,2235.0,12888,4,No,13,3.0,2,1,21,3.0,2,5.0,6.666666666666667
46,47.0,No,Travel_Frequently,1018,Research & Development,3,2,Life Sciences,3,Male,39,3,3,Research Director,4,Single,12936.0,19373,3,No,15,3.0,4,0,10,3.0,3,5.0,7
47,36.0,No,Travel_Rarely,1319,Research & Development,6,3,Medical,3,Female,51,4,2,Research Scientist,1,Divorced,7094.0,17001,4,Yes,13,3.0,1,2,13,0.0,3,7.0,6.666666666666667
48,29.0,No,Travel_Rarely,1391,Research & Development,10,1,Medical,3,Male,66,3,1,Research Scientist,3,Married,2804.0,12127,0,No,17,3.0,2,1,3,3.0,2,1.0,1
49,37.2520325203252,No,Travel_Rarely,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,5914.0,5868,4,No,13,3.0,4,1,5,3.0,2,13.0,1.6666666666666667
50,24.0,No,Travel_Rarely,580,Sales,5,4,Life Sciences,4,Male,48,2,3,Sales Executive,1,Married,3597.0,23772,5,Yes,21,3.0,3,1,20,2.0,3,4.0,8.666666666666666
51,39.0,No,Non-Travel,552,Human Resources,4,3,Human Resources,3,Male,60,1,2,Human Resources,2,Married,6472.0,20794,6,No,19,3.0,2,1,10,2.0,3,9.0,1.6666666666666667
52,24.0,No,Travel_Rarely,1332,Research & Development,11,2,Medical,3,Male,80,3,2,Healthcare Representative,1,Married,2725.0,17089,1,Yes,12,3.0,4,0,6,3.0,2,6.0,2
53,41.0,No,Travel_Rarely,804,Research & Development,9,3,Life Sciences,1,Female,64,3,1,Laboratory Technician,4,Married,19545.0,20165,4,No,18,3.0,2,0,8,0.0,3,22.0,0
54,43.0,No,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,Male,81,2,3,Research Director,2,Married,6020.0,26707,3,No,17,3.0,3,1,19,2.0,3,5.0,3
55,34.0,No,Travel_Frequently,976,Sales,26,4,Marketing,3,Female,100,3,2,Sales Executive,4,Married,4689.757785467128,12069,0,No,18,3.0,1,0,4,3.0,3,2.0,2
56,45.0,No,Travel_Frequently,153,Research & Development,15,2,Life Sciences,4,Male,49,2,2,Laboratory Technician,3,Single,5210.0,12682,0,Yes,12,3.0,4,0,10,2.0,3,24.0,4.333333333333333
57,58.0,No,Travel_Rarely,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,9474.52564102564,22656,1,No,13,3.0,3,0,6,2.0,3,31.0,2.6666666666666665
58,37.0,No,Travel_Rarely,594,Research & Development,2,2,Medical,3,Male,75,2,1,Laboratory Technician,2,Married,6502.0,15963,4,No,14,3.0,2,1,9,2.0,2,5.0,2
59,24.0,No,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4617.0,2819,6,No,20,3.0,4,2,7,2.0,3,5.0,1
60,38.0,Yes,Travel_Frequently,334,Sales,26,4,Marketing,3,Male,52,2,2,Sales Executive,1,Single,6516.717073170733,22967,5,No,15,3.0,3,0,9,2.0,2,6.0,1.3333333333333333
61,31.0,Yes,Non-Travel,935,Research & Development,3,3,Life Sciences,1,Male,89,3,1,Laboratory Technician,1,Married,9936.0,14669,4,No,12,3.0,3,0,10,2.0,4,9.0,1.6666666666666667
62,55.0,No,Travel_Frequently,1297,Research & Development,5,2,Life Sciences,4,Male,53,3,1,Laboratory Technician,4,Single,10976.0,19826,0,Yes,14,3.0,3,0,6,4.0,2,3.0,2
63,44.0,No,Travel_Rarely,759,Sales,2,2,Marketing,4,Male,46,3,2,Sales Executive,2,Divorced,2559.0,22553,7,No,12,3.0,3,2,8,0.0,3,8.0,2.6666666666666665
64,60.0,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,4689.757785467128,2396,6,Yes,15,4.0,2,0,7,2.0,3,1.0,0
65,29.0,No,Travel_Rarely,772,Research & Development,2,1,Life Sciences,4,Female,77,4,2,Manufacturing Director,3,Divorced,4689.757785467128,4973,1,No,17,4.0,3,2,7,5.0,3,0.0,4.666666666666667
66,53.0,No,Travel_Rarely,1062,Research & Development,24,3,Medical,3,Male,96,2,2,Healthcare Representative,1,Single,17584.0,17198,1,No,19,3.0,2,0,10,2.0,3,5.0,6
67,27.0,No,Non-Travel,329,Research & Development,1,2,Life Sciences,4,Male,98,2,1,Laboratory Technician,1,Married,4621.0,16193,1,No,12,3.0,3,1,4,4.0,3,3.0,2.3333333333333335
68,37.2520325203252,No,Travel_Rarely,185,Research & Development,23,4,Medical,2,Female,91,1,1,Laboratory Technician,3,Married,5855.0,9696,0,No,16,3.0,2,1,6,2.0,4,9.0,2.3333333333333335
69,37.0,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,4,Male,74,3,2,Sales Executive,3,Single,3564.0,5242,1,Yes,11,3.0,1,0,5,3.0,3,8.0,2.6666666666666665
70,34.0,No,Travel_Rarely,823,Research & Development,6,3,Medical,1,Female,81,2,5,Manager,3,Married,2742.0,22539,7,No,13,3.0,4,0,21,2.0,3,2.0,10.666666666666666
71,31.0,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Male,79,3,5,Manager,3,Married,4197.0,13022,0,No,14,3.0,4,0,21,2.0,3,10.0,9.333333333333334
72,37.0,No,Travel_Frequently,405,Research & Development,1,2,Life Sciences,2,Male,93,4,2,Research Scientist,3,Married,10048.0,2721,0,No,24,3.0,1,1,13,5.0,2,1.0,6.333333333333333
73,45.0,No,Non-Travel,408,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,9474.52564102564,7551,0,Yes,16,4.0,4,0,3,1.0,3,20.0,2
74,51.0,No,Travel_Rarely,1092,Research & Development,9,3,Life Sciences,3,Female,60,2,1,Laboratory Technician,2,Divorced,4936.0,26551,1,No,11,3.0,3,3,1,2.0,3,7.0,0
75,30.0,No,Travel_Rarely,532,Research & Development,4,2,Technical Degree,3,Male,58,3,5,Manager,4,Married,4152.0,4933,1,No,11,3.0,4,0,22,2.0,3,11.0,14.333333333333334
76,45.0,Yes,Travel_Rarely,1320,Research & Development,8,1,Medical,4,Female,93,2,1,Laboratory Technician,3,Single,5006.0,20586,1,Yes,11,3.0,1,0,5,3.0,3,5.0,2.3333333333333335
77,37.2520325203252,No,Travel_Rarely,1322,Research & Development,28,3,Life Sciences,4,Female,43,3,4,Research Director,1,Married,6545.0,22422,4,Yes,11,3.0,2,0,25,1.0,3,3.0,1.6666666666666667
78,28.0,No,Travel_Rarely,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2713.0,22310,1,No,25,3.0,3,3,10,2.0,2,5.0,5.333333333333333
79,56.0,No,Travel_Rarely,957,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,6020.0,16090,4,No,12,3.0,4,0,18,2.0,3,5.0,1.6666666666666667
80,35.0,No,Travel_Rarely,603,Research & Development,7,4,Medical,2,Male,78,4,2,Research Scientist,2,Married,6516.717073170733,5628,6,Yes,16,3.0,4,0,18,2.0,3,9.0,0
81,35.0,No,Travel_Rarely,136,Research & Development,28,3,Life Sciences,4,Male,32,3,4,Research Director,1,Married,6020.0,22074,3,No,13,3.0,3,1,24,5.0,4,5.0,12.333333333333334
82,32.368,No,Travel_Rarely,581,Research & Development,9,3,Medical,3,Female,62,4,1,Research Scientist,3,Married,2693.0,17616,1,No,16,3.0,4,1,5,3.0,3,1.0,2.3333333333333335
83,49.0,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,6020.0,3810,1,Yes,14,3.0,3,0,3,2.0,3,5.0,1.3333333333333333
84,29.0,No,Travel_Rarely,775,Sales,29,2,Medical,1,Male,45,3,2,Sales Executive,3,Divorced,6644.0,4267,5,No,12,3.0,1,2,8,2.0,3,0.0,0
85,32.368,No,Travel_Rarely,658,Sales,10,4,Marketing,1,Male,67,2,3,Sales Executive,2,Divorced,2983.0,20652,2,No,12,3.0,2,1,11,3.0,2,3.0,0
86,34.0,Yes,Travel_Rarely,1294,Research & Development,8,1,Medical,3,Male,79,3,1,Laboratory Technician,1,Married,2768.0,15999,1,Yes,17,3.0,3,0,1,3.0,3,7.0,0
87,41.0,No,Travel_Rarely,895,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,19189.0,2851,1,No,24,3.0,3,0,3,3.0,2,22.0,2
88,58.0,No,Travel_Rarely,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,10552.0,25796,3,No,20,3.0,3,0,23,3.0,2,6.0,10.666666666666666
89,40.0,No,Travel_Rarely,1050,Research & Development,11,4,Medical,2,Female,87,3,4,Manager,4,Divorced,10435.0,24456,3,No,20,3.0,1,1,26,2.0,3,18.0,7.333333333333333
90,38.0,No,Travel_Frequently,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,5321.0,4892,1,No,19,3.0,4,0,1,1.0,3,8.0,0.3333333333333333
91,35.906122448979595,No,Non-Travel,1086,Research & Development,7,1,Medical,1,Female,62,2,1,Laboratory Technician,4,Divorced,4689.757785467128,6054,6,No,14,3.0,3,3,8,6.0,3,1.0,2
92,60.0,No,Travel_Rarely,529,Research & Development,2,3,Technical Degree,4,Male,78,3,1,Research Scientist,1,Single,5405.0,11288,1,No,14,3.0,4,0,4,1.0,3,2.0,1.6666666666666667
93,45.0,Yes,Travel_Rarely,920,Human Resources,20,2,Medical,4,Male,69,3,1,Human Resources,2,Married,10851.0,6889,0,Yes,11,3.0,3,0,6,2.0,3,7.0,2
94,34.0,No,Travel_Rarely,977,Research & Development,2,1,Other,4,Female,57,3,1,Laboratory Technician,3,Divorced,6029.0,7298,6,Yes,19,3.0,3,1,7,3.0,2,2.0,1.3333333333333333
95,28.0,No,Travel_Rarely,888,Human Resources,10,4,Human Resources,3,Male,71,3,2,Human Resources,3,Married,4908.0,14814,3,No,11,3.0,3,0,10,3.0,3,4.0,2
96,34.0,No,Travel_Rarely,216,Sales,1,4,Marketing,2,Male,75,4,2,Sales Executive,4,Divorced,2691.0,12278,0,No,11,3.0,4,1,16,4.0,2,10.0,3.3333333333333335
97,41.0,No,Travel_Rarely,1351,Research & Development,1,4,Life Sciences,2,Male,45,3,2,Research Scientist,4,Married,2289.0,13008,9,No,17,4.0,2,1,9,2.0,2,5.0,1.6666666666666667
98,39.0,No,Travel_Frequently,1297,Research & Development,1,4,Medical,2,Male,44,3,2,Healthcare Representative,3,Single,12169.0,14511,4,No,12,3.0,3,0,12,2.0,3,18.0,1.6666666666666667
99,38.0,No,Travel_Frequently,1117,Research & Development,8,2,Life Sciences,4,Male,66,3,1,Research Scientist,4,Single,4735.0,4488,1,No,21,3.0,4,0,5,2.0,3,13.0,1.6666666666666667
100,36.0,No,Travel_Rarely,1372,Sales,18,1,Life Sciences,1,Male,93,4,2,Sales Executive,3,Married,2342.0,12477,2,No,11,4.0,2,0,6,3.0,2,5.0,1.6666666666666667
101,37.0,Yes,Travel_Rarely,286,Research & Development,2,4,Life Sciences,4,Male,31,3,5,Research Director,2,Single,4197.0,25761,7,Yes,12,3.0,4,0,40,2.0,3,1.0,12
102,25.0,No,Non-Travel,142,Sales,9,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,4000.0,24666,1,No,13,3.0,4,1,9,2.0,3,6.0,6.333333333333333
103,30.0,No,Travel_Frequently,444,Sales,5,3,Marketing,4,Female,84,3,1,Sales Representative,2,Divorced,4968.0,3909,1,No,11,3.0,3,1,2,2.0,2,9.0,2
104,35.0,No,Travel_Rarely,1283,Sales,2,3,Marketing,4,Female,62,3,2,Sales Executive,2,Single,4859.0,10697,8,No,15,3.0,4,0,13,3.0,2,5.0,5
105,47.0,Yes,Travel_Rarely,381,Research & Development,9,3,Medical,2,Male,89,3,1,Laboratory Technician,1,Single,9474.52564102564,16998,2,Yes,11,4.0,3,0,4,3.0,2,17.0,0
106,21.0,No,Travel_Rarely,558,Sales,2,3,Marketing,4,Male,75,3,2,Sales Executive,3,Married,1232.0,3010,4,Yes,11,3.0,3,1,17,6.0,2,0.0,0.3333333333333333
107,30.0,Yes,Travel_Rarely,1045,Sales,4,4,Medical,4,Male,32,1,3,Sales Executive,4,Married,9250.0,25812,1,No,11,3.0,3,0,14,3.0,2,4.0,8.333333333333334
108,32.0,No,Non-Travel,1454,Sales,2,4,Life Sciences,4,Male,65,2,1,Sales Representative,4,Single,4087.0,13137,1,Yes,18,3.0,1,0,3,3.0,2,6.0,1.6666666666666667
109,45.0,Yes,Travel_Rarely,603,Sales,9,4,Marketing,1,Male,77,3,2,Sales Executive,1,Single,9474.52564102564,18385,0,Yes,17,3.0,1,0,6,2.0,3,10.0,1.6666666666666667
110,34.0,No,Travel_Frequently,604,Sales,8,3,Medical,3,Female,56,4,2,Sales Executive,4,Married,2231.0,11693,1,No,15,3.0,3,2,10,3.0,4,4.0,5
111,33.0,No,Travel_Rarely,1342,Sales,9,2,Medical,1,Female,47,3,2,Sales Executive,1,Married,5324.0,19345,0,No,12,3.0,4,0,9,2.0,4,3.0,4
112,32.0,No,Travel_Rarely,501,Sales,27,5,Marketing,3,Female,99,3,2,Sales Executive,4,Divorced,11159.0,25275,7,No,23,3.0,4,1,10,6.0,2,7.0,7
113,54.0,No,Travel_Rarely,840,Research & Development,9,3,Medical,1,Female,64,3,5,Research Director,3,Divorced,17426.0,3735,2,No,17,4.0,2,1,21,6.0,4,10.0,9
114,35.906122448979595,No,Travel_Rarely,1239,Human Resources,8,2,Other,3,Male,89,3,2,Human Resources,2,Divorced,4950.0,12832,2,No,13,3.0,3,0,19,4.0,2,4.0,3.6666666666666665
115,39.0,No,Non-Travel,182,Research & Development,8,5,Life Sciences,1,Male,93,3,4,Research Director,2,Single,10920.0,8847,3,No,11,4.0,3,0,9,2.0,4,6.0,1
116,30.0,Yes,Non-Travel,950,Sales,4,4,Marketing,4,Male,48,2,2,Sales Executive,4,Single,8474.0,8450,1,Yes,12,4.0,2,0,8,2.0,3,11.0,6
117,43.03474903474904,No,Travel_Rarely,855,Sales,7,4,Marketing,4,Female,73,3,2,Sales Executive,1,Divorced,9474.52564102564,12761,7,No,14,3.0,2,2,8,4.0,3,19.0,1.3333333333333333
118,46.0,No,Travel_Frequently,412,Research & Development,13,4,Medical,3,Male,94,2,4,Manager,2,Divorced,10673.0,17334,6,Yes,13,3.0,4,2,21,5.0,3,5.0,8.666666666666666
119,30.0,No,Travel_Frequently,369,Research & Development,8,2,Life Sciences,2,Female,92,3,2,Manufacturing Director,1,Married,4011.0,5041,2,Yes,16,4.0,2,1,18,2.0,3,12.0,0
120,53.0,No,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,3,Male,89,2,1,Laboratory Technician,4,Single,2450.0,3300,7,No,15,3.0,2,0,6,4.0,2,2.0,2
121,45.0,No,Travel_Rarely,1153,Research & Development,6,2,Other,4,Male,40,2,1,Laboratory Technician,3,Married,2348.0,16376,1,No,11,3.0,2,1,5,2.0,3,17.0,2.6666666666666665
122,31.0,Yes,Travel_Rarely,992,Research & Development,1,3,Technical Degree,3,Male,85,3,1,Research Scientist,3,Single,5582.0,19757,0,No,14,4.0,4,0,7,2.0,2,9.0,2.6666666666666665
123,47.0,No,Non-Travel,515,Research & Development,1,2,Life Sciences,1,Male,98,3,3,Research Director,4,Single,5467.0,15146,1,Yes,12,3.0,3,0,15,4.0,3,8.0,11.333333333333334
124,35.906122448979595,No,Travel_Frequently,325,Research & Development,10,4,Technical Degree,4,Female,63,3,3,Healthcare Representative,3,Married,4689.757785467128,5747,3,No,12,4.0,1,0,10,3.0,3,2.0,5
125,43.03474903474904,Yes,Travel_Rarely,143,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,9474.52564102564,9558,1,No,18,3.0,3,0,8,2.0,3,10.0,7
126,49.0,No,Travel_Rarely,694,Research & Development,1,3,Life Sciences,4,Female,87,2,4,Research Director,4,Divorced,13964.0,3423,3,No,14,3.0,2,2,9,2.0,2,7.0,5
127,38.0,No,Travel_Frequently,193,Research & Development,2,3,Life Sciences,4,Male,52,2,1,Laboratory Technician,4,Married,2610.0,14222,1,Yes,12,3.0,2,1,2,2.0,3,4.0,2
128,28.0,No,Travel_Rarely,1070,Research & Development,3,4,Medical,3,Male,45,3,4,Research Director,3,Married,2028.0,21016,3,Yes,16,3.0,4,3,21,2.0,2,4.0,2.3333333333333335
129,30.0,No,Travel_Frequently,1176,Sales,3,2,Medical,2,Male,62,3,2,Sales Executive,3,Married,4689.757785467128,3487,1,No,14,3.0,1,1,6,2.0,2,1.0,1
130,36.0,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,3886.0,26897,1,No,11,4.0,3,2,2,2.0,3,10.0,1.6666666666666667
131,42.0,No,Non-Travel,469,Research & Development,3,3,Technical Degree,3,Male,46,3,1,Research Scientist,2,Married,17861.0,9256,1,No,12,3.0,3,0,12,2.0,2,20.0,5.666666666666667
132,32.0,No,Travel_Rarely,277,Research & Development,6,3,Life Sciences,1,Male,97,2,2,Healthcare Representative,3,Single,4689.757785467128,13119,2,No,13,4.0,4,0,19,2.0,3,1.0,2
133,43.0,No,Travel_Rarely,819,Research & Development,18,5,Life Sciences,2,Male,48,4,2,Research Scientist,1,Married,17159.0,26312,1,No,11,4.0,4,0,16,2.0,3,4.0,8.666666666666666
134,59.0,No,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,2,Male,71,4,3,Manager,2,Divorced,11904.0,19100,7,No,18,3.0,2,1,10,1.0,2,6.0,5
135,45.0,Yes,Travel_Rarely,676,Research & Development,9,4,Life Sciences,4,Male,86,3,1,Laboratory Technician,1,Single,4805.0,21831,3,No,14,3.0,2,0,15,3.0,1,8.0,1.6666666666666667
